Date,NIFTY_Return_1D,NIFTY_Return_5D,NIFTY_Return_20D,NIFTY_SMA50,NIFTY_RSI
2015-03-17,0.010442238346779709,0.0012913149318714012,-0.009335096849980129,8669.16697265625,48.66345087729875
2015-03-18,-0.004287301239194297,-0.001614929323971337,-0.014013431663402742,8674.9759765625,46.61164503567953
2015-03-19,-0.00590036699653107,-0.01610638210745219,-0.026434387826942185,8680.1009765625,43.881246337772644
2015-03-20,-0.0073830435647072035,-0.008886659463444246,-0.036468631882598634,8688.971982421876,40.68843248221298
2015-03-23,-0.002333477124745964,-0.009527228911628605,-0.03200272043686181,8697.94798828125,39.71220037642769
2015-03-24,-0.000929749494125387,-0.02067447106175213,-0.02421487218893681,8704.115,39.30846141779801
2015-03-25,-0.0014222710360253243,-0.017856592749429412,-0.02639776024002527,8709.04099609375,38.661537871912174
2015-03-26,-0.022113918786236364,-0.0338751410615975,-0.048487223402435164,8709.42400390625,30.318495291930333
2015-03-27,-8.990487642646094e-05,-0.026776650006460345,-0.0394351853330458,8710.26400390625,30.290509191076595
2015-03-30,0.018090417315550278,-0.006853148003191367,-0.03983219368280655,8714.55900390625,41.90910831916304
2015-03-31,-0.0001530568535489385,-0.006081060304086172,-0.05199988835235991,8714.49599609375,41.84441274623117
2015-04-01,0.011217759981156483,0.00649999959933778,-0.04557454494928448,8715.945,48.15985695274315
2015-04-06,0.00857771327704171,0.038089699312672476,-0.029447528312447457,8718.12900390625,52.45894215029109
2015-04-07,4.612224673294918e-05,0.03823092036451281,-0.031042510174540627,8717.4230078125,52.481956642138414
2015-04-08,0.006246964557533818,0.02615317299736719,-0.004836224555343049,8717.121015625,55.616116536846555
2015-04-09,0.007332623152276119,0.033835803166588185,0.007604410154353536,8717.45900390625,59.051536247704874
2015-04-10,0.0002335081659441407,0.022605865118648927,0.00924136486503313,8716.35400390625,59.160738770292944
2015-04-13,0.006110279546012176,0.02010411223245434,0.006608933454876897,8714.82400390625,62.015969403897515
2015-04-16,-0.014410211080767454,0.005357827289060424,0.0068168246436934865,8710.67201171875,52.61610580243489
2015-04-17,-0.01156582781691673,-0.012439225393134024,-0.0031448995322128637,8703.74501953125,46.59907088819292
2015-04-20,-0.01834770981001632,-0.03761550672217617,-0.0315477172026829,8696.52900390625,39.05685916058696
2015-04-21,-0.008327270348106652,-0.04585234384575465,-0.03547708087437862,8688.13599609375,36.2423601320723
2015-04-22,0.006200972255378856,-0.04576633514687567,-0.023735783852351755,8681.59900390625,39.6981294862418
2015-04-23,-0.0037249712205020824,-0.03542104169281446,-0.02013797595014566,8675.09099609375,38.34525743768328
2015-04-24,-0.011079600258562361,-0.034946548919358555,-0.028728014525151613,8666.9619921875,34.58404732352113
2015-04-27,-0.011011130948797465,-0.027734024871995278,-0.038528890266222526,8658.0169921875,31.331314390653162
2015-04-28,0.008741362876475867,-0.010999419966578161,-0.028742931603876976,8653.2019921875,36.38982310183553
2015-04-29,-0.005533650132347967,-0.02253344613822983,-0.012275059286881107,8646.68599609375,34.635220438838616
2015-04-30,-0.007069389241178392,-0.025814725567012253,-0.01916948991019707,8637.76798828125,32.49175269725353
2015-05-04,0.01838907233545184,0.003214857507299662,-0.01888176501805694,8630.17599609375,42.40596104092132
2015-05-05,-0.0008581893143123631,0.013513842878986937,-0.01957368923713343,8620.5619921875,42.08958936678238
2015-05-06,-0.02736399793773192,-0.022762336857504284,-0.056980637647401355,8606.315,33.51177918966566
2015-05-07,-0.004903074634123761,-0.02214268579902301,-0.06958516365729339,8590.07900390625,32.27719281808122
2015-05-08,0.01665572816769534,0.0012222697549348904,-0.05413205261482468,8576.0030078125,40.2856342617197
2015-05-11,0.01632790087285607,-0.0008041569086993938,-0.044656014548476564,8565.836015625,47.011112619064754
2015-05-12,-0.02381908107113906,-0.023766290363354536,-0.07419997310039328,8553.276015625,39.84573088521834
2015-05-13,0.013350641678914421,0.01709894964956149,-0.06205896556564183,8542.74302734375,44.803041012006354
2015-05-14,-0.0013660455388829762,0.020714183991006774,-0.06902873043779711,8531.88203125,44.39451807261927
2015-05-15,0.004638677701966021,0.00864916185985476,-0.05103547566467592,8523.45203125,46.18644649991587
2015-05-18,0.013470838987944989,0.005813686150565989,-0.026998560234138935,8514.033046875,51.13414861292217
2015-05-19,-0.0009553778372400901,0.02937143572630463,-0.00975949888878025,8502.2110546875,50.77280573916678
2015-05-20,0.006885251795789804,0.022803829813018872,0.005431052490227017,8490.7510546875,53.329982020776896
2015-05-21,-0.00026711779894939003,0.02392935483254277,-0.0010320883437038297,8480.718046875,53.213696223871445
2015-05-22,0.004506613859696085,0.023794755152266145,0.007221746310026811,8471.14205078125,54.996161089812844
2015-05-25,-0.010485957862909845,-0.00040608223013549605,0.007826374883356912,8463.41205078125,50.183771454334504
2015-05-26,-0.0036916926764433144,-0.0031439015524094005,0.015285228234543924,8455.958046875,48.588672899535645
2015-05-27,-0.0005695887835976965,-0.010524487653221781,0.0059138749529432655,8448.65103515625,48.33434477777789
